user_id,record_id,player_event_type,ui_event_type,event_current_time_in_nanoseconds,nano_time_milliseconds,event_seek_position_in_milliseconds,event_start_time,event_elapsed_time,song_album_id,song_album_name,song_artist_id,song_artist_name,song_bit_rate,song_date_added,song_disc_number,song_duration,song_file_size,song_file_format,song_id,song_last_played,song_name,song_file_path,song_play_count,song_playList_id,playList_play_order,podcast,song_sample_rate,track,song_release_year,album_artist_name,album_id,album_name,album_artist_name.1,album_date_added,album_release_year,number_of_songs_in_album ,number_of_discs_in_album,album_artists,album_paths,genre_id,genre_name,number_of_songs_for_genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
3H1zVpV0LPZeYOGGxFNNHK68TRf1,7-eb990d10-5120-4ce5-a52a-e7dd56446ea6,PAUSE,,1.59993E+12,1.31299E+15,4749,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,0,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",0,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,9-145d398e-5843-434b-9cf1-f044c8614977,PLAY,,1.60323E+12,2.82666E+12,5732,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,1-5e227d94-2c09-4e9c-b718-113fbed25011,,PAUSE,1.60323E+12,2.06046E+12,2241,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",1,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,1-91b301c4-a219-4926-b500-f5829205645b,,PLAY,1.59993E+12,1.31296E+15,0,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,0,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",0,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,10-feeb34f9-9810-468e-b534-c0c143fdb209,,PLAY,1.60323E+12,2.82681E+12,5795,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,12-8c15699b-bb8b-461a-8b39-6cefa4211dc6,,PAUSE,1.60323E+12,2.82893E+12,7902,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,14-ea87ef1e-e16b-4396-9dec-51d7fe88c331,,PLAY,1.60323E+12,2.83193E+12,8497,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,16-2fa62342-60ff-4c0b-b110-f01f826005e4,,PAUSE,1.60323E+12,2.83376E+12,10331,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,17-ae029fe0-fd25-49f2-8fc3-05681376e562,,SKIP,1.60323E+12,2.83598E+12,10614,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,19-89f69164-344f-4849-b863-5f19dd683d17,,PAUSE,1.60323E+12,2.85025E+12,13171,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",4,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
